EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08100234	ILAlg-02-01, 00876	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					mulieres;  tituli sepulcrales;  tria nomina	Afrania / [D]ecumul[a(?)]	Afrania ecumul	Afrania Decumula	lapis		36.364519	6.608260						
EDCS-08100235	ILAlg-02-01, 00880 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	liberti/libertae;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	C(aius) Aleius Cer/tus v(ixit) a(nnos) LXI / Libertio patri [f]ecit	C Aleius Certus v a LXI Libertio patri ecit	Caius Aleius Certus vixit annos LXI Libertio patri fecit	lapis		36.364519	6.608260						-30 to 117
EDCS-08100236	ILAlg-02-01, 00885 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / Al<f=P>iae / Fida(e) v(ixit) a(nnos) / [3] M[	D M AlPiae Fida v a M	Dis Manibus Alfiae Fidae vixit annos M	lapis		36.364519	6.608260						171 to 230
EDCS-08100237	ILAlg-02-01, 00886	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Alfia Lu/cida con/iugi am[an]/tissim<o=E> v(ixit) / (!) L	D M Alfia Lucida coniugi am tissimE v L	Dis Manibus Alfia Lucida coniugi amantissimo vixit L	lapis		36.364519	6.608260						
EDCS-08100238	ILAlg-02-01, 00887 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  nomen singulare;  tituli sepulcrales	Ampelis v(ixit) (!) / XXXVII / h(ic) s(ita) e(st) {E} o(ssa) t(ibi) b(ene) q(uiescant)	Ampelis v XXXVII h s e E o t b q	Ampelis vixit XXXVII hic sita est ossa tibi bene quiescant	lapis		36.364519	6.608260						-30 to 117
EDCS-08100239	ILAlg-02-01, 00888 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	tituli sepulcrales;  tria nomina;  viri	D(is) [M(anibus)] / M(arco) An[3] / M(arci) fi[lio] / Feli[ci] / v(ixit) a(nnos) LX	D M An M fi Feli v a LX	Dis Manibus Marco An Marci filio Felici vixit annos LX	lapis		36.364519	6.608260						171 to 230
EDCS-08100240	ILAlg-02-01, 00889	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / P(ublius) Annius / Gemellus / vix{x}it / annis XXX	D M P Annius Gemellus vixxit annis XXX	Dis Manibus Publius Annius Gemellus vixit annis XXX	lapis		36.364519	6.608260						
EDCS-08100241	ILAlg-02-01, 00890 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	231	270	231	270	mulieres;  tituli sepulcrales;  tria nomina;  viri	Memoriae / Annius Milimo / v(ixit) a(nnos) LX / Magnia Rogatula / uxor posuit	Memoriae Annius Milimo v a LX Magnia Rogatula uxor posuit	Memoriae Annius Milimo vixit annos LX Magnia Rogatula uxor posuit	lapis		36.364519	6.608260						231 to 270
EDCS-08100242	ILAlg-02-01, 00891 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / C(aius) Anniu/s Severus / v(ixit) a(nnos) / LXXXXV / h(ic) s(itus) e(st)	D M C Annius Severus v a LXXXXV h s e	Dis Manibus Caius Annius Severus vixit annos LXXXXV hic situs est	lapis		36.364519	6.608260						171 to 230
EDCS-08100245	ILAlg-02-01, 00894 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  tituli sepulcrales;  tria nomina	Anni[a] / Primosa / v(ixit) a(nnos) XXXV / h(ic) s(ita) e(st)	Anni Primosa v a XXXV h s e	Annia Primosa vixit annos XXXV hic sita est	lapis		36.364519	6.608260						-30 to 117
EDCS-08100247	ILAlg-02-01, 00897 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / C(aius) Antisti/us Rufus / v(ixit) a(nnos) XVII / h(ic) s(itus)	D M C Antistius Rufus v a XVII h s	Dis Manibus Caius Antistius Rufus vixit annos XVII hic situs	lapis		36.364519	6.608260						171 to 230
EDCS-08100248	ILAlg-02-01, 00898 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / Antistia / Procula / v(ixit) a(nnos) XXXV / h(ic) s(ita) e(st)	D M Antistia Procula v a XXXV h s e	Dis Manibus Antistia Procula vixit annos XXXV hic sita est	lapis		36.364519	6.608260						171 to 230
EDCS-08100249	ILAlg-02-01, 00899 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / Antis/tia Ster/corosa / v(ixit) a(nnos) XXXX	D M Antistia Stercorosa v a XXXX	Dis Manibus Antistia Stercorosa vixit annos XXXX	lapis		36.364519	6.608260						171 to 230
EDCS-08100251	ILAlg-02-01, 00905 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / Antoniae / Censitae / v(ixit) a(nnos) LXXX / o(ssa) t(ibi) b(ene) q(uiescant)	D M Antoniae Censitae v a LXXX o t b q	Dis Manibus Antoniae Censitae vixit annos LXXX ossa tibi bene quiescant	lapis		36.364519	6.608260						171 to 230
EDCS-08100252	ILAlg-02-01, 00907 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  tituli sepulcrales;  tria nomina	Antonia / Tuta vixit / annis C	Antonia Tuta vixit annis C	Antonia Tuta vixit annis C	lapis		36.364519	6.608260						-30 to 117
EDCS-08100253	ILAlg-02-01, 00911 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	tituli sepulcrales;  tria nomina;  viri	Q(uintus) Apronius / Felix v(ixit) a(nnos) / LV / h(ic) s(itus) e(st)	Q Apronius Felix v a LV h s e	Quintus Apronius Felix vixit annos LV hic situs est	lapis		36.364519	6.608260						-30 to 117
EDCS-08100254	ILAlg-02-01, 00912 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / [s]acrum / [A]pronius L(uci) f(ilius) Quir(ina) / Vitalis se vivo / [3 fecit] coniu/[gi	D M acrum pronius L f Quir Vitalis se vivo coniugi	Dis Manibus sacrum Apronius Luci filius Quirina Vitalis se vivo fecit coniugi	lapis		36.364519	6.608260						171 to 230
EDCS-08100255	ILAlg-02-01, 00914 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / Apronia / Vitalis / v(ixit) a(nnos) XXXV / h(ic) s(ita) e(st)	D M Apronia Vitalis v a XXXV h s e	Dis Manibus Apronia Vitalis vixit annos XXXV hic sita est	lapis		36.364519	6.608260						171 to 230
EDCS-08100256	ILAlg-02-01, 00917 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  tituli sepulcrales;  tria nomina	L(ucia?) Aqui/lia v(ixit) a(nnos) / CIX	L Aquilia v a CIX	Lucia Aquilia vixit annos CIX	lapis		36.364519	6.608260						-30 to 117
EDCS-08100257	ILAlg-02-01, 00919 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	231	270	231	270	mulieres;  tituli sepulcrales	Memoriae / AR[3] Maxim[3] / filia DEI[3] / RENA[3] / v(ixit) a(nnos) [	Memoriae AR Maxim filia DEI RENA v a	Memoriae AR Maxim filia DEI RENA vixit annos	lapis		36.364519	6.608260						231 to 270
EDCS-08100258	ILAlg-02-01, 00920 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	tituli sepulcrales;  viri	D(is) M(anibus) / L(ucius) Arellius / [3]RCIN/[	D M L Arellius RCIN	Dis Manibus Lucius Arellius RCIN	lapis		36.364519	6.608260						171 to 230
